calidad_imagen,marca,modelo,peso,precio_dominioVirtual,pulgadas,sistema_operativo
 WUXGA,Acer,"Portátil Acer Switch 3 SW312-31-C4P6, -- Marcas de Uso---, Intel Celeron, 1,1 GHz, 31 cm (12.2""), 1920 x 1200 Pixeles, 4 GB, 64 GB, 1 Año de Garantía (Español) - -Km.0-"," 1,25 kg","199,65 €"," 31 cm (12.2"")", Windows 10 S
 Full HD,HP,"Portátil HP Laptop 15s-fq1072ns - Procesador i3-1005G1 (1.2GHz), Pantalla 15.6"" FHD LED, Memoria RAM 8GB, SSD 256GB, WIFI, Bluetooth, Webcam, - Windows 10 Home (Español) - -Km.0-"," 1,69 kg","496,64 €"," 39,6 cm (15.6"")", Windows 10 Home S
 HD,HP,"Portátil HP 250 G7, Intel i3-8130U (2.2GHz), 15.6"" HD AG LED, 8GB RAM, SSD 256GB PCIe NVMe, Sin unidad óptica, WIFI, Bluetooth, Windows 10 Home, 1 año de garantía (Español) - -Km.0-"," 1,78 kg","490,59 €"," 39,6 cm (15.6"")", Windows 10 Home
 Full HD,HP,"Portátil HP Laptop 14s-dq1010ns, Km.0, Intel i3-1005G1 (1.2GHz), 14.0"" FHD LED, RAM 8GB, SSD 512GB PCIe NVME, Sin DVD, WIFI, Bluetooth, Webcam, Windows 10 Home, 2 años de garantía (Español) - -Km.0-"," 1,46 kg","472,44 €"," 35,6 cm (14"")", Windows 10 Home
,Asus,"Portátil ASUS F409FA-EK247T. Intel Core i3 8145U. RAM 8 GB. 512 GB SSD, Windows 10 Home, 1 año de Garantía (Español) - -Km.0-"," 1,6 kg","471,23 €",,
 Full HD,HP,"HP 255 G7, RYZEN3-3200U (2.6GHz), Pantalla 15.6"" FHD, 8GB RAM, SSD 256GB, DVDRW, WIFI, Bluetooth, Teclado retroiluminado, Windows 10 Pro , Garantía 1 año (Español) - -Km.0-"," 1,78 kg","466,39 €"," 39,6 cm (15.6"")", Windows 10 Pro
 HD,Dell,"Portátil DELL Vostro 3501, Intel Core i3-1005G1 (1,2 GHz), Pantalla 15.6"" HD (1366 x 768 Pixeles), 4GB RAM, 256GB SSD, Wi-Fi 5, Bluetooth, Windows 10 Pro, 1 año de garantía (Español)"," 1,9 kg","466,39 €"," 39,6 cm (15.6"")", Windows 10 Pro
 Full HD,Asus,"Portátil ASUS VivoBook 15 S512JA-BQ1028 - Procesador i3-1005G1 - Memoria RAM 8 GB - SSD 256 GB - Pantalla 15.6"" - Resolución 1920 x 1080 Pixeles - FreeDOS (Sin Windows) (Español)"," 1,8 kg","461,55 €"," 39,6 cm (15.6"")", No
 No indicado,Lenovo,"Portátil Lenovo ThinkPad T460, -- Usado, Ligeras Marcas de uso--- Intel i5-6300U (3,00 GHz), 8 Gb RAM, SSD 128Gb, Windows 10 Pro, 1 Año de Garantía (Español) - -Km.0-"," 1,73 kg","454,29 €"," 35,6 cm (14"")", Windows 10 Pro
 HD,Lenovo,"Portátil Lenovo V15-IIL, Nuevo, ,Intel Core i3-1005G1, 8GB RAM DDR4, 256GB NVMe, 15.6"" HD, Intel UHD Graphics, WiFi, Bluetooth, Color gris, FreeDOS, 1 año de garantía (Español)"," 1,78 kg","454,29 €"," 39,6 cm (15.6"")", FreeDOS (No incluido)
